satisfaction_level,last_evaluation,project_count,average_monthly_hours,time_in_company,work_accident,emp_left,promotion_last_5years,sales,salary
0.37,0.47,2,138,3,1,1,0,accounting,medium
0.09,0.9,7,296,4,0,1,0,technical,medium
0.1,0.55,2,247,4,0,1,0,sales,medium
0.38,0.56,2,154,3,0,1,0,sales,low
0.43,0.52,2,147,3,0,1,0,sales,low
0.4,0.54,2,141,3,0,1,0,technical,medium
0.37,0.51,2,132,3,0,1,0,technical,medium
0.77,1,4,232,5,0,1,0,technical,medium
0.77,0.91,5,221,6,0,1,0,support,medium
0.46,0.62,6,213,3,0,1,0,support,low
0.43,0.57,2,127,3,0,1,0,IT,low
0.73,0.89,5,236,6,0,1,0,product_mng,low
0.1,0.83,6,269,4,0,1,0,IT,low
0.09,0.82,6,257,4,0,1,0,accounting,medium
0.87,1,4,228,5,0,1,0,support,medium
0.64,0.9,6,252,2,0,1,0,sales,low
0.45,0.46,2,153,3,1,1,0,technical,medium
0.43,0.57,2,160,3,0,1,0,technical,medium
0.43,0.47,2,128,3,0,1,0,technical,medium
0.38,0.45,2,129,3,0,1,0,support,medium
0.83,0.99,5,258,5,0,1,0,support,high
0.11,0.87,6,257,4,0,1,0,support,medium
0.5,0.54,5,153,4,0,1,0,support,low
0.44,0.49,2,154,3,0,1,0,support,low
0.1,0.9,7,290,4,0,1,0,sales,low
0.38,0.5,2,152,3,0,1,0,sales,high
0.72,1,4,245,5,0,1,0,sales,low
0.78,0.81,3,222,2,0,1,0,sales,low
0.23,0.99,4,204,4,1,1,0,accounting,low
0.91,0.89,4,247,5,0,1,0,hr,low
0.11,0.79,7,295,4,0,1,0,hr,low
0.43,0.54,2,150,3,0,1,0,hr,low
0.11,0.91,5,291,4,0,1,0,technical,low
0.11,0.93,6,253,4,1,1,0,technical,low
0.45,0.54,2,138,3,0,1,0,technical,medium
0.11,0.97,7,310,4,0,1,0,support,medium
0.1,0.92,7,253,4,1,1,0,support,low
0.11,0.87,6,264,4,0,1,0,support,medium
0.41,0.5,2,128,3,0,1,0,management,low
0.81,0.9,5,238,6,0,1,0,marketing,low
0.44,0.51,2,146,3,0,1,0,marketing,medium
0.37,0.57,2,128,3,0,1,0,sales,medium
0.82,0.89,5,217,5,0,1,0,sales,high
0.43,0.48,2,144,3,0,1,0,sales,low
0.14,0.73,7,282,5,0,1,0,technical,low
0.91,0.94,5,257,5,0,1,0,technical,low
0.43,0.57,2,131,3,1,1,0,support,medium
0.85,0.85,5,267,5,0,1,0,support,medium
0.1,0.79,6,294,4,0,1,0,technical,medium
0.76,0.93,5,238,5,0,1,0,product_mng,low
0.92,1,5,259,5,0,1,0,IT,low
0.79,0.98,4,271,5,0,1,0,sales,low
0.11,0.82,6,304,4,1,1,0,accounting,low
0.37,0.45,2,160,3,0,1,0,marketing,medium
0.78,0.87,4,236,5,0,1,0,sales,medium
0.46,0.86,2,212,4,0,1,0,sales,medium
0.1,0.91,6,285,4,0,1,0,sales,medium
0.11,0.8,6,286,4,0,1,0,sales,low
0.11,0.85,7,272,4,0,1,0,accounting,low
0.39,0.56,2,135,3,0,1,0,hr,low
0.09,0.94,6,308,4,0,1,0,technical,low
0.73,0.83,5,270,5,1,1,0,support,medium
0.11,0.87,5,303,4,0,1,0,IT,low
0.43,0.52,2,139,3,0,1,0,product_mng,low
0.45,0.57,2,151,3,0,1,0,accounting,low
0.86,0.94,5,224,5,0,1,0,marketing,medium
0.87,1,4,258,5,1,1,1,sales,medium
0.36,0.52,2,137,3,1,1,0,sales,medium
0.87,0.9,4,256,5,0,1,0,sales,high
0.39,0.48,2,138,3,0,1,0,sales,low
0.92,0.87,4,229,6,0,1,0,sales,low
0.42,0.47,2,129,3,0,1,0,hr,low
0.88,0.89,4,275,5,0,1,0,technical,low
0.11,0.93,4,295,3,0,1,0,technical,low
0.77,1,4,249,6,0,1,0,support,medium
0.37,0.49,2,151,3,0,1,0,technical,high
0.09,0.92,6,261,4,0,1,0,IT,medium
0.37,0.48,2,129,3,0,1,0,IT,medium
0.09,0.78,6,244,4,0,1,0,IT,low
0.09,0.84,6,258,4,0,1,0,IT,low
0.47,0.81,4,133,3,0,1,0,RandD,low
0.43,0.47,2,129,3,0,1,0,marketing,low
0.78,0.87,5,243,5,0,1,0,technical,low
0.53,0.95,6,205,4,0,1,0,marketing,low
0.45,0.54,2,154,3,0,1,0,marketing,low
0.09,0.79,6,276,4,0,1,0,sales,medium
0.83,0.94,4,267,5,0,1,0,sales,medium
0.11,0.77,6,275,4,0,1,0,accounting,low
0.73,0.86,5,249,5,0,1,0,technical,low
0.09,0.82,6,251,4,0,1,0,support,low
0.42,0.46,2,131,3,0,1,0,support,medium
0.09,0.85,6,260,4,0,1,0,support,medium
0.11,0.91,6,278,4,0,1,0,support,medium
0.1,0.9,7,301,4,0,1,0,technical,medium
0.88,0.87,4,235,6,0,1,0,management,low
0.11,0.93,6,290,4,0,1,0,IT,medium
0.87,0.88,5,262,6,0,1,0,sales,low
0.11,0.89,6,301,4,0,1,0,sales,medium
0.4,0.51,2,156,3,0,1,0,sales,medium
0.42,0.54,2,135,3,0,1,0,sales,medium
0.45,0.49,2,144,3,0,1,0,accounting,low
0.09,0.8,6,294,4,0,1,0,hr,low
0.91,0.9,4,245,5,0,1,0,technical,low
0.1,0.93,6,243,4,0,1,0,product_mng,low
0.38,0.55,2,134,3,0,1,0,IT,low
0.09,0.87,7,278,4,0,1,0,IT,low
0.41,0.54,2,152,3,0,1,0,sales,medium
0.4,0.49,2,140,3,0,1,0,sales,medium
0.38,0.47,2,152,3,0,1,0,sales,medium
0.1,0.82,7,284,4,0,1,0,accounting,low
0.36,0.51,2,143,3,0,1,0,technical,low
0.86,0.98,4,270,5,0,1,0,technical,low
0.11,0.97,6,288,4,0,1,0,support,medium
0.45,0.53,2,131,3,0,1,0,support,medium
0.78,1,4,267,5,0,1,0,technical,medium
0.38,0.56,2,148,3,0,1,0,technical,medium
0.83,0.83,5,260,5,0,1,0,IT,medium
0.41,0.52,2,127,3,0,1,0,IT,medium
0.44,0.55,2,137,3,0,1,0,RandD,low
0.46,0.52,2,148,3,0,1,0,RandD,low
0.89,0.89,5,262,5,0,1,0,accounting,low
0.1,0.97,7,284,4,0,1,0,support,low
0.46,0.48,2,161,3,0,1,0,technical,low
0.09,0.78,7,290,4,0,1,0,management,low
0.89,0.98,4,242,6,0,1,0,marketing,low
0.77,0.89,4,270,5,0,1,0,sales,medium
0.1,0.92,5,272,4,0,1,0,sales,medium
0.78,0.86,4,249,5,0,1,0,sales,medium
0.1,0.77,6,272,4,0,1,0,accounting,low
0.1,0.96,7,301,4,0,1,0,hr,low
0.11,0.89,7,257,4,0,1,0,technical,low
0.44,0.46,2,154,3,0,1,0,technical,low
0.41,0.56,2,143,3,0,1,0,technical,low
0.9,0.94,5,247,5,0,1,0,technical,low
0.87,0.85,5,221,6,0,1,0,support,medium
0.45,0.5,2,157,3,0,1,0,management,medium
0.46,0.46,2,145,3,0,1,0,IT,high
0.4,0.5,2,129,3,0,1,0,IT,medium
0.11,0.91,6,279,4,0,1,0,sales,low
0.72,1,4,169,3,0,1,0,sales,medium
0.82,0.93,4,246,5,0,1,0,sales,medium
0.41,0.52,2,142,3,0,1,0,sales,medium
0.43,0.53,2,146,3,0,1,0,sales,medium
0.39,0.55,2,156,3,0,1,0,sales,high
0.11,0.86,6,299,4,1,1,0,sales,low
0.79,0.93,5,269,5,0,1,0,accounting,low
0.81,1,4,241,5,0,1,0,hr,low
0.2,0.9,6,138,3,0,1,0,technical,low
0.1,0.95,7,296,4,0,1,0,technical,low
0.44,0.57,2,145,3,0,1,0,support,low
0.39,0.49,2,146,3,0,1,0,support,low
0.41,0.48,2,136,3,0,1,0,technical,medium
0.1,0.89,7,285,4,0,1,0,IT,low
0.11,0.88,7,305,4,0,1,0,product_mng,low
0.78,0.86,5,260,6,0,1,0,marketing,low
0.78,0.45,4,128,2,0,1,0,sales,low
0.46,0.57,2,145,3,0,1,0,sales,low
0.1,0.83,6,264,4,1,1,0,sales,medium
0.36,0.56,2,159,3,0,1,0,sales,medium
0.16,0.65,4,277,5,0,1,0,accounting,medium
0.11,0.97,6,260,4,0,1,0,technical,low
0.37,0.46,2,157,3,0,1,0,support,medium
0.43,0.48,2,149,3,0,1,0,support,medium
0.89,0.98,5,274,5,0,1,0,product_mng,medium
0.1,0.82,7,265,4,0,1,0,RandD,low
0.74,0.86,5,262,5,0,1,0,RandD,low
0.38,0.55,2,131,3,0,1,0,marketing,low
0.4,0.47,2,152,3,0,1,0,accounting,low
0.83,0.98,4,249,5,0,1,0,support,low
0.36,0.57,2,144,3,0,1,0,technical,low
0.83,0.92,4,235,5,0,1,0,sales,low
0.9,0.99,4,259,6,0,1,0,sales,medium
0.44,0.5,2,154,3,0,1,0,accounting,medium
0.11,0.9,5,307,4,0,1,0,support,low
0.6,0.85,3,250,2,0,1,0,support,low
0.73,0.96,5,256,6,1,1,0,support,medium
0.11,0.8,6,259,5,0,1,0,support,medium
0.73,0.91,4,247,5,0,1,0,support,medium
0.1,0.87,6,307,4,0,1,0,product_mng,high
0.68,0.62,5,198,5,1,1,0,RandD,low
0.43,0.55,4,134,3,0,1,0,marketing,low
0.39,0.53,2,153,3,0,1,0,sales,medium
0.38,0.51,2,138,3,0,1,0,technical,low
0.77,0.98,4,238,6,0,1,0,support,low
0.87,0.97,5,250,6,0,1,0,support,low
0.44,0.55,2,128,3,0,1,1,IT,medium
0.44,0.57,2,141,3,0,1,0,product_mng,medium
0.86,1,4,232,5,0,1,0,product_mng,medium
0.56,0.86,5,252,2,0,1,0,IT,medium
0.38,0.49,2,128,3,0,1,0,technical,low
0.38,0.51,2,141,3,0,1,0,sales,low
0.41,0.54,2,133,3,0,1,0,sales,medium
0.43,0.51,2,131,3,0,1,0,sales,medium
0.79,0.96,4,257,5,0,1,0,accounting,medium
0.41,0.56,2,133,3,0,1,0,hr,medium
0.36,0.46,2,157,3,0,1,0,technical,medium
0.77,0.96,5,249,6,0,1,0,technical,low
0.91,1,4,251,6,0,1,0,technical,low
0.81,0.93,5,265,6,0,1,0,technical,low
0.11,0.94,6,266,4,0,1,0,support,low
0.23,0.7,5,168,4,0,1,0,support,low
0.42,0.52,2,160,3,0,1,0,support,low
0.11,0.96,7,244,4,0,1,0,support,low
0.1,0.83,6,271,4,0,1,0,technical,medium
0.37,0.53,2,140,3,0,1,0,management,medium
0.46,0.5,2,146,3,0,1,0,IT,medium
0.39,0.48,2,159,3,0,1,0,product_mng,medium
0.09,0.91,6,243,4,0,1,0,product_mng,high
0.11,0.9,7,245,4,0,1,0,RandD,medium
0.1,0.95,6,264,5,0,1,0,RandD,medium
0.36,0.51,2,144,3,0,1,0,sales,low
0.73,1,5,253,6,0,1,0,support,low
0.09,0.93,6,273,5,0,1,0,sales,low
0.73,1,4,268,5,0,1,0,sales,medium
0.43,0.51,2,149,3,1,1,0,accounting,medium
0.44,0.55,2,156,3,0,1,0,hr,medium
0.09,0.92,7,245,4,0,1,0,technical,medium
0.41,0.51,2,156,3,0,1,0,technical,medium
0.43,0.51,2,143,3,0,1,0,technical,medium
0.09,0.78,6,263,4,0,1,0,technical,low
0.44,0.48,2,155,3,0,1,0,support,low
0.43,0.46,2,157,3,0,1,0,product_mng,medium
0.82,0.91,5,276,6,0,1,0,product_mng,medium
0.46,0.53,2,147,3,0,1,0,sales,low
0.75,1,5,223,6,0,1,0,accounting,medium
0.44,0.56,2,133,3,0,1,0,technical,medium
0.76,0.87,5,262,5,0,1,0,support,low
0.09,0.89,6,282,4,0,1,0,support,low
0.43,0.5,2,148,3,0,1,0,support,low
0.11,0.89,6,268,4,0,1,0,IT,medium
0.1,0.94,7,264,4,0,1,0,IT,medium
0.14,0.75,4,277,5,1,1,0,sales,medium
0.37,0.57,2,158,3,0,1,0,technical,low
0.39,0.54,2,154,3,0,1,0,marketing,low
0.82,0.94,5,236,5,0,1,0,sales,low
0.09,0.95,6,271,4,0,1,0,sales,low
0.45,0.46,2,149,3,0,1,0,sales,low
0.36,0.52,2,143,3,0,1,0,accounting,medium
0.36,0.54,2,153,3,0,1,0,accounting,medium
0.4,0.47,2,144,3,0,1,0,hr,medium
0.76,0.89,5,238,5,0,1,0,technical,high
0.38,0.49,2,137,3,0,1,0,technical,medium
0.43,0.57,2,159,3,1,1,0,technical,low
0.37,0.53,2,143,3,0,1,0,support,low
0.11,0.96,6,280,4,0,1,0,support,low
0.09,0.89,7,310,4,0,1,0,support,low
0.36,0.5,2,131,3,0,1,0,IT,medium
0.36,0.48,2,152,3,0,1,0,product_mng,medium
0.42,0.49,2,153,3,0,1,0,product_mng,medium
0.1,0.79,6,301,5,0,1,0,RandD,medium
0.76,1,4,220,6,0,1,0,RandD,medium
0.11,0.79,6,247,4,0,1,0,RandD,medium
0.15,0.63,7,229,3,0,1,0,marketing,low
0.43,0.54,2,156,3,0,1,0,sales,low
0.41,0.53,2,157,3,0,1,0,sales,low
0.73,0.62,3,218,3,0,0,0,accounting,medium
0.75,0.7,4,144,4,0,0,0,technical,high
0.84,0.43,6,246,4,0,0,0,technical,medium
0.56,0.86,4,201,3,1,0,0,technical,medium
0.61,0.98,3,267,3,0,0,0,technical,low
0.84,0.77,4,262,4,0,0,0,technical,low
0.85,0.59,3,235,3,0,0,0,support,low
0.67,0.57,2,160,4,0,0,0,support,low
0.19,0.53,6,191,4,0,0,0,support,low
0.52,0.59,2,176,3,1,0,0,IT,low
0.63,0.66,4,237,2,1,0,0,RandD,medium
0.82,0.65,4,148,3,0,0,0,sales,high
0.86,0.91,4,147,3,0,0,0,technical,medium
0.53,0.81,3,226,3,1,0,0,sales,low
0.86,0.99,3,169,2,1,0,0,sales,low
0.84,0.64,4,267,4,0,0,0,sales,low
0.69,0.66,5,106,5,0,0,0,sales,low
0.52,0.66,4,139,3,0,0,0,sales,low
0.57,0.51,2,152,2,0,0,0,accounting,medium
0.2,0.58,3,209,5,0,0,0,hr,medium
0.58,0.9,3,212,3,0,0,0,hr,medium
0.54,0.67,4,282,6,0,0,0,technical,medium
0.19,0.58,5,182,2,0,0,0,technical,medium
0.71,0.57,3,209,2,0,0,0,technical,medium
0.93,0.75,5,143,3,0,0,0,support,low
0.78,0.72,5,270,3,1,0,0,technical,low
0.67,0.51,5,182,3,0,0,0,management,low
0.52,0.43,2,199,2,0,0,0,sales,medium
0.71,0.76,5,172,2,1,0,0,support,high
0.87,0.71,3,132,2,0,0,0,sales,low
0.9,0.92,3,152,3,0,0,0,accounting,low
0.81,0.94,3,225,4,0,0,0,hr,medium
0.13,0.59,5,160,5,0,0,0,technical,medium
0.82,0.73,4,195,5,1,0,0,technical,medium
0.21,0.82,4,207,5,0,0,0,technical,high
0.2,0.72,6,224,4,0,0,0,technical,medium
0.87,0.52,3,237,3,0,0,0,support,low
0.72,0.65,4,224,3,0,0,0,support,low
0.98,0.58,4,136,3,0,0,0,technical,low
0.9,0.79,4,150,2,0,0,0,IT,low
0.85,0.57,4,216,2,0,0,0,product_mng,low
0.51,0.69,3,145,2,1,0,0,RandD,medium
0.43,0.39,5,198,5,0,0,0,RandD,medium
0.89,0.56,3,256,3,0,0,0,support,medium
0.56,0.97,5,163,2,0,0,0,management,high
0.78,0.81,4,232,3,0,0,0,sales,medium
0.57,0.78,3,109,3,1,0,0,sales,low
0.7,0.89,6,214,2,0,0,0,sales,low
0.7,0.61,4,163,4,1,0,0,sales,low
0.96,1,5,162,3,0,0,0,accounting,low
0.75,0.68,3,150,2,1,0,0,support,medium
0.55,0.51,3,190,3,0,0,0,support,low
0.61,0.55,4,231,3,0,0,0,technical,low
0.92,0.92,3,159,3,0,0,0,IT,low
0.65,0.68,4,128,5,0,0,0,product_mng,low
0.71,0.5,4,253,3,0,0,0,RandD,medium
0.47,0.9,3,101,2,1,0,0,marketing,medium
0.99,0.75,6,139,5,1,0,0,technical,medium
0.52,0.53,2,163,2,0,0,0,marketing,low
0.6,0.64,2,137,5,0,0,0,sales,medium
0.38,0.44,3,137,3,0,0,0,sales,medium
0.58,0.69,4,223,4,0,0,0,sales,low
0.8,0.98,2,232,6,1,0,0,sales,low
0.62,0.53,3,141,3,0,0,0,sales,low
0.51,0.64,3,267,2,0,0,0,sales,low
0.68,0.69,3,185,2,0,0,0,accounting,low
0.38,0.64,3,111,3,0,0,0,technical,medium
0.82,0.83,3,271,2,0,0,0,technical,medium
0.66,0.95,3,191,3,0,0,0,technical,medium
0.67,0.67,4,192,4,0,0,0,IT,low
0.54,0.73,2,100,3,0,0,0,IT,low
0.79,0.74,5,172,2,0,0,0,product_mng,low
0.93,0.82,4,175,3,0,0,0,IT,low
0.65,0.6,5,227,3,0,0,0,RandD,low
0.22,0.74,3,199,6,0,0,0,accounting,medium
0.72,0.88,2,247,3,0,0,0,technical,medium
0.12,0.55,5,242,4,0,0,0,marketing,medium
0.71,0.74,3,163,3,1,0,0,marketing,medium
0.15,0.8,5,151,2,1,0,0,sales,low
0.5,0.81,3,148,2,0,0,0,sales,low
0.72,0.51,3,235,2,0,0,0,sales,low
0.7,0.74,5,263,3,1,0,0,hr,low
0.84,0.75,3,187,3,1,0,0,technical,medium
0.61,0.62,4,140,3,1,0,0,support,medium
0.81,0.68,5,230,2,0,0,0,support,medium
0.9,0.74,4,206,4,1,0,0,IT,low
0.65,0.86,5,250,3,0,0,0,IT,low
0.47,0.86,4,169,6,0,0,0,IT,low
0.65,0.75,2,151,3,0,0,0,IT,low
0.8,0.75,3,181,3,0,0,0,marketing,medium
0.91,0.56,4,158,3,0,0,0,technical,medium
0.25,0.69,3,187,4,0,0,0,marketing,medium
0.63,0.8,3,205,2,0,0,0,sales,low
0.56,0.9,3,235,2,0,0,0,technical,medium
0.63,0.96,4,167,2,0,0,0,technical,medium
0.21,0.5,5,255,5,0,0,0,technical,medium
0.94,0.78,3,184,3,1,0,0,technical,medium
0.76,0.5,3,156,3,1,0,0,support,medium
0.58,0.69,3,146,4,0,0,0,support,low
0.45,0.52,2,105,3,0,0,0,technical,low
0.13,0.67,3,181,4,0,0,0,technical,low
0.61,0.99,4,251,2,0,0,0,IT,low
0.93,0.97,3,256,2,1,0,0,product_mng,low
0.83,0.89,5,141,3,1,0,0,product_mng,low
0.8,0.96,4,268,3,0,0,0,technical,medium
0.65,0.67,5,128,5,0,0,0,marketing,medium
0.49,0.8,2,275,2,0,0,0,sales,low
0.44,0.66,3,162,2,0,0,0,sales,medium
0.74,0.84,3,239,4,0,0,0,sales,medium
0.51,0.58,3,155,3,0,0,0,sales,low
0.9,0.84,2,199,3,0,0,0,sales,low
0.83,0.93,5,241,3,0,0,0,sales,low
0.58,0.87,3,268,2,0,0,0,sales,low
0.52,0.38,6,169,3,0,0,0,accounting,low
0.69,0.5,3,208,4,0,0,0,hr,low
0.87,0.75,3,132,3,0,0,0,technical,medium
0.48,0.67,5,273,3,0,0,0,support,medium
0.26,0.67,2,242,6,0,0,0,technical,low
0.89,0.83,5,267,4,0,0,0,technical,low
0.51,0.48,5,136,4,0,0,0,management,low
0.8,0.74,4,221,4,0,0,0,product_mng,low
0.68,0.9,2,133,4,0,0,0,RandD,low
0.21,0.61,3,173,2,0,0,0,RandD,low
0.48,0.89,5,179,3,0,0,0,management,medium
0.99,0.78,4,140,3,0,0,0,sales,medium
0.63,0.78,3,153,3,1,0,0,sales,medium
0.7,0.9,3,225,2,0,0,0,sales,low
0.6,0.91,2,168,4,0,0,0,hr,low
0.89,0.71,5,194,3,0,0,0,hr,low
0.77,0.75,4,223,3,0,0,0,technical,medium
0.87,0.68,4,246,2,0,0,0,support,medium
0.86,0.98,5,233,3,0,0,0,technical,low
0.71,0.48,5,114,3,0,0,0,management,low
0.6,0.77,4,157,4,0,0,0,product_mng,low
0.96,0.84,3,264,3,0,0,0,RandD,low
0.76,0.59,3,191,4,0,0,0,marketing,medium
0.79,0.61,5,96,4,0,0,0,marketing,medium
0.89,0.67,3,226,3,0,0,0,sales,medium
0.5,0.96,4,147,3,0,0,0,sales,low
0.73,0.58,5,230,3,0,0,0,sales,low
0.98,0.53,4,192,2,1,0,0,sales,low
0.5,0.55,3,176,3,0,0,0,sales,low
0.76,0.76,3,216,3,0,0,0,sales,low
0.65,0.86,4,264,2,1,0,0,hr,low
0.74,0.69,3,230,2,0,0,0,support,medium
0.61,0.77,4,142,3,0,0,0,support,medium
0.24,0.62,5,169,4,0,0,0,support,medium
0.68,0.48,4,251,4,0,0,0,support,high
0.16,0.71,6,227,5,0,0,0,support,medium
0.55,0.49,3,152,2,0,0,0,technical,medium
0.56,0.68,5,203,2,0,0,0,IT,low
0.74,0.64,4,101,6,1,0,0,IT,low
0.65,0.42,6,220,2,0,0,0,product_mng,low
0.8,0.9,4,241,2,0,0,0,IT,low
0.54,0.96,3,201,3,0,0,0,management,medium
0.59,0.83,3,156,2,0,0,0,sales,medium
0.8,0.99,3,248,3,1,0,0,sales,medium
0.76,0.4,2,122,5,0,0,0,sales,low
0.55,0.9,4,273,2,1,0,0,sales,low
0.63,0.56,4,248,2,1,0,0,sales,low
0.17,0.93,3,218,4,0,0,0,technical,low
0.59,0.47,3,143,2,0,0,0,technical,medium
0.13,0.89,4,249,6,1,0,0,support,medium
0.8,0.85,5,242,3,0,0,0,support,high
0.91,0.57,3,164,3,0,0,0,technical,medium
0.83,0.98,5,189,4,1,0,0,management,low
0.69,0.97,4,233,3,0,0,0,IT,low
0.96,0.37,2,159,6,0,0,0,RandD,low
0.82,0.99,5,252,3,1,0,0,RandD,low
